epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,328.072,0.78586,0.67847,0.86221,0.7766,0.96056,0.87481,0.67236,0.87959,0.64191,0.87962,0.0011882,0.0011882,0.0011882
43,335.069,0.76564,0.62973,0.85636,0.80501,0.90018,0.86872,0.67574,0.84184,0.713,0.88083,0.0011684,0.0011684,0.0011684
44,343.136,0.77933,0.68143,0.86217,0.7915,0.75752,0.84847,0.63814,0.85002,1.11015,0.88795,0.0011486,0.0011486,0.0011486
45,349.947,0.78622,0.68156,0.86265,0.81587,0.89118,0.89557,0.70171,0.82317,0.62291,0.87737,0.0011288,0.0011288,0.0011288
46,357.582,0.76246,0.659,0.86174,0.73219,0.84586,0.83242,0.6339,0.85272,0.93794,0.87578,0.001109,0.001109,0.001109
47,364.947,0.75904,0.67386,0.86336,0.79674,0.89151,0.90097,0.69974,0.80124,0.67636,0.8749,0.0010892,0.0010892,0.0010892
48,373.739,0.77012,0.65165,0.86372,0.82058,0.91729,0.90329,0.70042,0.84269,0.61978,0.87603,0.0010694,0.0010694,0.0010694
49,380.501,0.7818,0.69653,0.85774,0.77258,0.95146,0.87683,0.68355,0.82236,0.69443,0.87374,0.0010496,0.0010496,0.0010496
50,387.588,0.77567,0.65208,0.85843,0.84726,0.69859,0.86076,0.66295,0.85479,1.35473,0.88789,0.0010298,0.0010298,0.0010298
51,393.924,0.76713,0.66086,0.86066,0.82955,0.84398,0.88379,0.6726,0.86541,0.70996,0.8891,0.00101,0.00101,0.00101
52,401.02,0.74858,0.62859,0.85096,0.73519,0.87782,0.85027,0.64545,0.83194,0.85278,0.87685,0.0009902,0.0009902,0.0009902
53,407.889,0.75455,0.66683,0.85783,0.80461,0.85145,0.85336,0.64818,0.86989,0.81826,0.88237,0.0009704,0.0009704,0.0009704
54,416.741,0.76002,0.65409,0.86075,0.80744,0.86654,0.8575,0.66147,0.81574,0.77449,0.86978,0.0009506,0.0009506,0.0009506
55,424.362,0.75591,0.60362,0.85862,0.78866,0.86978,0.88864,0.69565,0.81967,0.69419,0.87587,0.0009308,0.0009308,0.0009308
56,431.033,0.73814,0.62696,0.85002,0.83122,0.85338,0.90336,0.70858,0.82268,0.65499,0.88309,0.000911,0.000911,0.000911
57,437.314,0.76907,0.62286,0.86186,0.8298,0.8523,0.8806,0.689,0.8232,0.66392,0.8817,0.0008912,0.0008912,0.0008912
58,444.42,0.73949,0.57528,0.85197,0.77325,0.94361,0.86584,0.68126,0.81573,0.66985,0.87771,0.0008714,0.0008714,0.0008714
59,451.251,0.729,0.62341,0.85853,0.75698,0.92857,0.87302,0.68396,0.81349,0.67412,0.87363,0.0008516,0.0008516,0.0008516
60,459.553,0.73421,0.59492,0.85534,0.86611,0.81203,0.89764,0.70949,0.81862,0.69852,0.87582,0.0008318,0.0008318,0.0008318
61,468.194,0.74011,0.58288,0.8534,0.79083,0.83647,0.86128,0.67031,0.81783,0.72243,0.87732,0.000812,0.000812,0.000812
62,475.544,0.73396,0.54638,0.8523,0.69929,0.93543,0.84103,0.6556,0.82542,0.74001,0.87876,0.0007922,0.0007922,0.0007922
63,482.228,0.74004,0.58619,0.85234,0.83334,0.84962,0.89031,0.69669,0.83774,0.67617,0.87352,0.0007724,0.0007724,0.0007724
64,489.016,0.72204,0.57302,0.84842,0.83083,0.84932,0.90816,0.70638,0.83832,0.84752,0.88067,0.0007526,0.0007526,0.0007526
65,496.707,0.7344,0.6008,0.85142,0.85538,0.82331,0.91357,0.7091,0.83398,0.6849,0.88275,0.0007328,0.0007328,0.0007328
66,504.385,0.71799,0.58598,0.85242,0.83981,0.8515,0.88129,0.69166,0.81419,0.67513,0.87659,0.000713,0.000713,0.000713
67,512.366,0.74337,0.56615,0.85174,0.86013,0.84382,0.89878,0.70184,0.81758,0.63258,0.87441,0.0006932,0.0006932,0.0006932
68,521.075,0.73663,0.55591,0.8547,0.78556,0.91917,0.89647,0.70679,0.81247,0.61071,0.87096,0.0006734,0.0006734,0.0006734
69,528.347,0.72501,0.54622,0.8504,0.78227,0.91917,0.8676,0.67119,0.84629,0.62408,0.88884,0.0006536,0.0006536,0.0006536
70,535.065,0.71858,0.5532,0.84719,0.79286,0.92481,0.89374,0.69774,0.82993,0.65971,0.88265,0.0006338,0.0006338,0.0006338
71,541.261,0.72924,0.52918,0.8525,0.81059,0.87218,0.88983,0.69281,0.8228,0.73046,0.87541,0.000614,0.000614,0.000614
72,548.301,0.71768,0.54891,0.85111,0.788,0.8797,0.88899,0.69512,0.82993,0.77923,0.87853,0.0005942,0.0005942,0.0005942
73,555.828,0.72691,0.5588,0.85209,0.75632,0.91165,0.89166,0.70157,0.8129,0.67515,0.87646,0.0005744,0.0005744,0.0005744
74,564.718,0.72004,0.53745,0.84979,0.77064,0.87406,0.8912,0.69636,0.82796,0.82986,0.87784,0.0005546,0.0005546,0.0005546
75,572.213,0.72446,0.55961,0.8491,0.74544,0.95301,0.89136,0.69689,0.8193,0.63288,0.87732,0.0005348,0.0005348,0.0005348
76,579.512,0.70676,0.52781,0.84766,0.79827,0.85537,0.88904,0.69117,0.81684,0.67199,0.88272,0.000515,0.000515,0.000515
77,586.255,0.70827,0.54807,0.84415,0.80234,0.90414,0.87448,0.68321,0.81745,0.62399,0.88021,0.0004952,0.0004952,0.0004952
78,593.522,0.70488,0.5035,0.8456,0.81712,0.89867,0.89589,0.6982,0.83114,0.73769,0.88212,0.0004754,0.0004754,0.0004754
79,600.314,0.70841,0.51088,0.84761,0.79948,0.92934,0.88291,0.69183,0.84025,0.68143,0.8788,0.0004556,0.0004556,0.0004556
80,607.91,0.71119,0.53304,0.85065,0.80649,0.88523,0.90758,0.71161,0.82223,0.70752,0.87704,0.0004358,0.0004358,0.0004358
81,617.194,0.69091,0.52724,0.84466,0.768,0.91541,0.8731,0.68951,0.80915,0.67015,0.87402,0.000416,0.000416,0.000416
82,624.786,0.69726,0.52893,0.84227,0.79432,0.8703,0.87924,0.68168,0.82036,0.88689,0.87146,0.0003962,0.0003962,0.0003962
83,632.013,0.68801,0.51099,0.84023,0.81211,0.91808,0.89575,0.69982,0.80326,0.68561,0.86951,0.0003764,0.0003764,0.0003764
84,638.968,0.70072,0.50155,0.84328,0.80409,0.87952,0.88396,0.69287,0.81057,0.74718,0.87696,0.0003566,0.0003566,0.0003566
85,645.926,0.69655,0.48065,0.84854,0.78941,0.90977,0.87778,0.69377,0.80686,0.64505,0.87148,0.0003368,0.0003368,0.0003368
86,652.222,0.68258,0.51675,0.84253,0.80931,0.87594,0.86093,0.67593,0.80689,0.66518,0.87693,0.000317,0.000317,0.000317
87,660.254,0.68391,0.47968,0.84316,0.82089,0.87406,0.9039,0.71551,0.81201,0.69216,0.87589,0.0002972,0.0002972,0.0002972
88,668.165,0.67551,0.50609,0.84061,0.83899,0.84962,0.9081,0.71549,0.8091,0.71713,0.87523,0.0002774,0.0002774,0.0002774
89,675.705,0.67576,0.50569,0.84638,0.82447,0.86523,0.90188,0.7152,0.80682,0.63204,0.87392,0.0002576,0.0002576,0.0002576
90,682.839,0.67354,0.47486,0.84234,0.8112,0.87226,0.89774,0.71243,0.80335,0.68066,0.87297,0.0002378,0.0002378,0.0002378
91,703.968,0.66379,0.43882,0.83282,0.81136,0.89743,0.89962,0.71198,0.80379,0.6368,0.87153,0.000218,0.000218,0.000218
92,710.376,0.66616,0.43846,0.83877,0.78574,0.90994,0.8701,0.6841,0.80377,0.64348,0.872,0.0001982,0.0001982,0.0001982
93,716.56,0.65988,0.42819,0.83345,0.87496,0.82707,0.90354,0.70822,0.81916,0.68889,0.879,0.0001784,0.0001784,0.0001784
94,723.504,0.65102,0.44213,0.83407,0.84593,0.85902,0.906,0.71644,0.82179,0.68488,0.87542,0.0001586,0.0001586,0.0001586
95,730.134,0.64469,0.42005,0.83555,0.80531,0.90193,0.88316,0.69492,0.81421,0.7223,0.87715,0.0001388,0.0001388,0.0001388
96,736.557,0.64463,0.42187,0.82833,0.78418,0.90038,0.89021,0.69732,0.8323,0.74308,0.87616,0.000119,0.000119,0.000119
97,744.951,0.64267,0.40619,0.83434,0.79696,0.87594,0.89578,0.70261,0.8188,0.74139,0.87611,9.92e-05,9.92e-05,9.92e-05
98,753.573,0.62917,0.40764,0.83434,0.79778,0.88989,0.89101,0.70129,0.81451,0.73611,0.87477,7.94e-05,7.94e-05,7.94e-05
99,760.371,0.63271,0.41167,0.83678,0.80702,0.90038,0.90071,0.71472,0.81194,0.6521,0.87246,5.96e-05,5.96e-05,5.96e-05
100,767.398,0.63103,0.40162,0.82835,0.80601,0.90594,0.89724,0.71164,0.8135,0.68718,0.87307,3.98e-05,3.98e-05,3.98e-05
