epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5111.39,1.64593,1.09472,1.0148,0.80877,0.70248,0.76962,0.37409,1.73383,1.05471,1.0784,0.005842,0.005842,0.005842
44,5227.67,1.63076,1.08652,1.00683,0.78575,0.72128,0.77696,0.37103,1.74015,1.05036,1.08149,0.005743,0.005743,0.005743
45,5341.97,1.63743,1.0762,1.00821,0.79957,0.70657,0.77608,0.37508,1.73939,1.05061,1.08053,0.005644,0.005644,0.005644
46,5456.26,1.62254,1.06042,1.00518,0.81795,0.71549,0.78603,0.37741,1.73459,1.04415,1.07754,0.005545,0.005545,0.005545
47,5571.8,1.61422,1.05077,0.99989,0.82193,0.71257,0.78554,0.37868,1.7399,1.04003,1.0785,0.005446,0.005446,0.005446
48,5687,1.60513,1.0464,0.9999,0.8083,0.71727,0.78685,0.37902,1.74067,1.0374,1.07953,0.005347,0.005347,0.005347
49,5801.83,1.59819,1.036,0.99776,0.80142,0.71396,0.78222,0.37925,1.74101,1.02977,1.07961,0.005248,0.005248,0.005248
50,5915.99,1.59354,1.0197,0.99558,0.81051,0.71982,0.78492,0.37987,1.74512,1.02318,1.08046,0.005149,0.005149,0.005149
51,6028.86,1.58666,1.00966,0.99386,0.81474,0.71834,0.78494,0.38106,1.74461,1.0172,1.08091,0.00505,0.00505,0.00505
52,6141.57,1.57656,1.00198,0.99096,0.81893,0.72172,0.78665,0.37758,1.7454,1.01046,1.08287,0.004951,0.004951,0.004951
53,6253.6,1.57524,0.99563,0.99028,0.83216,0.71266,0.78868,0.37918,1.74901,1.00538,1.08473,0.004852,0.004852,0.004852
54,6365.57,1.56362,0.99324,0.98743,0.84422,0.71576,0.79067,0.37911,1.74705,1.00402,1.08498,0.004753,0.004753,0.004753
55,6480.28,1.55705,0.98517,0.98454,0.84549,0.71509,0.78692,0.37861,1.74702,1.00094,1.08604,0.004654,0.004654,0.004654
56,6594.8,1.54703,0.97334,0.98191,0.84736,0.7119,0.78766,0.37893,1.74823,0.99789,1.08663,0.004555,0.004555,0.004555
57,6708.57,1.54423,0.96698,0.98035,0.83576,0.71668,0.78762,0.37863,1.74955,0.9955,1.08798,0.004456,0.004456,0.004456
58,6823.06,1.54258,0.95274,0.97903,0.84121,0.71688,0.78965,0.37971,1.74927,0.99428,1.08799,0.004357,0.004357,0.004357
59,6937.75,1.52027,0.93723,0.97642,0.83619,0.71904,0.79051,0.38198,1.75017,0.99249,1.08914,0.004258,0.004258,0.004258
60,7051.81,1.52174,0.94265,0.97283,0.82799,0.72376,0.78899,0.38034,1.74982,0.99094,1.08875,0.004159,0.004159,0.004159
61,7167.09,1.51414,0.93732,0.96923,0.82888,0.71984,0.7873,0.38118,1.75088,0.98555,1.08912,0.00406,0.00406,0.00406
62,7281.39,1.50313,0.92887,0.97087,0.82937,0.72119,0.78719,0.3827,1.75217,0.98292,1.08945,0.003961,0.003961,0.003961
63,7395.23,1.49028,0.91493,0.96585,0.83286,0.7202,0.78927,0.3815,1.75488,0.97964,1.09045,0.003862,0.003862,0.003862
64,7510.21,1.47612,0.9029,0.96331,0.8272,0.7243,0.78799,0.38187,1.75601,0.97736,1.09082,0.003763,0.003763,0.003763
65,7624.12,1.47806,0.89724,0.96283,0.82272,0.72476,0.78769,0.38136,1.75774,0.97571,1.09102,0.003664,0.003664,0.003664
66,7735.84,1.46776,0.89589,0.96041,0.82083,0.71959,0.78507,0.38131,1.7579,0.97301,1.09177,0.003565,0.003565,0.003565
67,7850.38,1.4645,0.88646,0.95918,0.82105,0.72502,0.78941,0.38111,1.7582,0.97037,1.09214,0.003466,0.003466,0.003466
68,7964.99,1.45109,0.87589,0.95339,0.82232,0.72378,0.78987,0.38221,1.75809,0.96885,1.09189,0.003367,0.003367,0.003367
69,8079.6,1.44719,0.86837,0.95628,0.82784,0.72022,0.78921,0.3826,1.75903,0.96599,1.09254,0.003268,0.003268,0.003268
70,8192.61,1.43562,0.86434,0.95351,0.82705,0.71982,0.78896,0.38181,1.75876,0.96407,1.09238,0.003169,0.003169,0.003169
71,8305.24,1.42808,0.86199,0.9481,0.82439,0.72299,0.79051,0.38161,1.75873,0.96322,1.09256,0.00307,0.00307,0.00307
72,8417.41,1.42025,0.84818,0.94724,0.82679,0.72196,0.79171,0.38208,1.75861,0.96136,1.09296,0.002971,0.002971,0.002971
73,8529.63,1.41312,0.84374,0.94511,0.82677,0.7232,0.79192,0.38269,1.75897,0.96109,1.09286,0.002872,0.002872,0.002872
74,8642.52,1.40731,0.83746,0.94311,0.82603,0.72227,0.79116,0.38199,1.75867,0.96069,1.09321,0.002773,0.002773,0.002773
75,10944.3,1.39291,0.82723,0.94348,0.83241,0.71814,0.79169,0.38094,1.7598,0.95984,1.0934,0.002674,0.002674,0.002674
76,11059.8,1.38949,0.82171,0.93907,0.83126,0.72108,0.79324,0.38183,1.76088,0.95856,1.09363,0.002575,0.002575,0.002575
77,11173.9,1.37333,0.81677,0.93639,0.831,0.72313,0.79443,0.38087,1.76145,0.9584,1.09428,0.002476,0.002476,0.002476
78,11287.5,1.3721,0.80845,0.93427,0.82134,0.72838,0.79189,0.38064,1.76167,0.95803,1.09418,0.002377,0.002377,0.002377
79,11400.9,1.36278,0.80233,0.9343,0.81861,0.72815,0.79062,0.38172,1.76131,0.95683,1.09425,0.002278,0.002278,0.002278
80,11513.4,1.35439,0.79763,0.935,0.81747,0.73112,0.79317,0.38119,1.76072,0.95488,1.09401,0.002179,0.002179,0.002179
81,11625.9,1.33875,0.79114,0.92879,0.81461,0.73204,0.79262,0.38127,1.76023,0.95364,1.09428,0.00208,0.00208,0.00208
82,11737.8,1.33843,0.7862,0.9273,0.81337,0.73224,0.79338,0.38131,1.75999,0.95226,1.09423,0.001981,0.001981,0.001981
